accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp
-0.267,0.411,0.922,-61.634,4.244,56.260,29.305
-0.233,0.345,0.887,-62.794,-13.893,69.664,29.328
-0.118,0.336,0.949,-64.550,28.229,92.244,29.352
-0.196,0.359,0.953,-46.687,85.725,113.908,29.281
-0.235,0.417,0.830,1.740,72.351,133.725,29.383
-0.236,0.479,0.683,62.885,4.031,133.237,29.352
-0.234,0.481,0.523,141.664,-95.710,111.847,29.320
-0.207,0.409,0.497,235.588,-180.611,56.779,29.344
-0.183,0.647,0.877,94.122,-210.748,34.168,29.430
-0.006,0.531,1.123,66.992,-149.160,32.427,29.344
-0.016,0.571,1.147,16.947,-14.092,15.115,29.367
-0.122,0.495,0.801,11.191,26.947,5.008,29.328
-0.143,0.467,0.764,26.595,6.504,5.756,29.266
-0.119,0.538,0.827,28.046,4.916,1.160,29.383
-0.051,0.591,0.892,8.580,15.542,-2.718,29.375
0.031,0.526,0.957,-10.702,48.962,-8.275,29.391
0.005,0.498,0.988,-16.885,96.794,-6.702,29.359
-0.114,0.484,0.909,-13.069,128.748,-3.023,29.320
-0.223,0.508,0.782,-5.221,119.130,-0.794,29.336
-0.283,0.566,0.683,15.527,79.267,-5.023,29.359
-0.289,0.623,0.633,33.130,23.038,-16.870,29.383
-0.256,0.626,0.642,40.489,-40.031,-34.992,29.375
-0.256,0.556,0.717,44.702,-89.878,-48.824,29.328
-0.248,0.529,0.763,43.618,-119.176,-57.725,29.336
-0.187,0.508,0.773,38.076,-130.824,-70.824,29.336
-0.175,0.468,0.941,50.122,-112.992,-74.595,29.375
-0.187,0.430,0.849,62.198,-101.298,-66.992,29.383
-0.271,0.571,0.679,56.153,-96.153,-64.855,29.352
-0.194,0.567,0.565,27.817,-81.298,-48.397,29.375
-0.190,0.505,0.675,12.626,-76.641,-48.443,29.406
-0.158,0.467,0.661,3.969,-72.214,-43.481,29.438
-0.231,0.470,0.667,1.542,-71.878,-36.855,29.367
-0.350,0.512,0.624,-3.740,-71.878,-23.053,29.359
-0.332,0.514,0.633,-8.565,-73.084,-3.847,29.367
-0.166,0.474,0.727,-8.809,-50.931,17.496,29.336
-0.102,0.490,0.734,-7.496,-34.260,24.519,29.414
-0.047,0.518,0.674,-10.962,-26.565,26.702,29.383
0.006,0.559,0.673,-14.626,-24.458,22.366,29.383
0.047,0.599,0.662,-21.008,-22.504,15.359,29.344
0.133,0.617,0.667,-30.275,-19.756,6.244,29.352
0.190,0.617,0.679,-39.557,-6.336,-8.137,29.430
0.122,0.609,0.695,-53.786,0.412,-21.832,29.367
0.026,0.568,0.794,-68.382,-4.214,-31.176,29.367
-0.060,0.532,0.943,-75.878,-6.244,-33.847,29.336
-0.115,0.503,1.091,-76.092,-8.519,-32.840,29.375
-0.097,0.468,1.225,-70.901,1.588,-30.931,29.352
0.064,0.454,1.307,-58.198,37.802,-31.160,29.406
-0.192,0.497,1.263,-47.267,64.427,-32.931,29.406
-0.371,0.507,1.141,-43.893,30.702,-21.420,29.430
-0.241,0.450,1.135,-35.985,3.206,-6.015,29.336
-0.108,0.420,1.119,-19.725,-6.611,3.756,29.375
-0.088,0.450,1.011,-9.038,-17.298,10.137,29.375
-0.050,0.462,0.956,-6.168,-31.481,13.191,29.391
0.004,0.470,0.923,-4.763,-33.832,15.420,29.414
0.056,0.473,0.902,-4.611,-24.015,13.939,29.383
0.050,0.470,0.890,-7.008,-7.023,11.267,29.352
0.010,0.469,0.871,-12.718,3.817,11.145,29.352
-0.008,0.467,0.878,-16.595,6.641,13.053,29.391
-0.001,0.469,0.895,-18.137,2.840,14.611,29.383
0.051,0.477,0.941,-18.763,-1.985,14.809,29.383
0.112,0.481,0.982,-18.183,-2.809,11.435,29.383
0.142,0.470,1.011,-15.817,-1.206,9.038,29.445
0.155,0.468,1.019,-12.153,1.267,9.053,29.398
0.159,0.462,1.007,-8.748,0.702,10.061,29.414
0.177,0.459,1.006,-4.687,-2.687,10.076,29.398
0.172,0.451,0.991,0.977,-4.092,10.244,29.391
0.160,0.440,0.961,4.672,-5.023,11.481,29.375
0.150,0.448,0.943,5.771,-5.191,11.466,29.406
0.153,0.462,0.938,2.718,-6.061,7.573,29.391
0.141,0.451,0.958,-0.733,-1.405,3.053,29.414
0.101,0.435,0.956,-1.267,2.748,2.382,29.391
0.091,0.434,0.947,-0.427,0.656,4.290,29.367
0.120,0.443,0.941,1.023,-3.573,4.977,29.391
0.165,0.458,0.949,1.893,-4.779,3.511,29.336
0.190,0.477,0.951,1.573,1.618,-0.870,29.352
0.177,0.480,0.947,-0.931,9.817,-6.504,29.422
0.135,0.474,0.936,-3.191,16.885,-9.847,29.391
0.085,0.466,0.921,-3.847,20.794,-10.611,29.359
0.037,0.454,0.908,-3.695,18.626,-8.718,29.445
0.019,0.453,0.913,-2.290,12.855,-5.023,29.375
0.011,0.458,0.917,0.702,8.916,-0.412,29.445
0.020,0.477,0.901,1.817,5.008,3.008,29.383
0.026,0.479,0.908,1.405,2.031,4.351,29.398
0.014,0.466,0.910,2.641,-0.519,6.702,29.422
0.005,0.468,0.910,4.702,-4.641,9.573,29.398
0.010,0.470,0.912,6.366,-8.168,12.565,29.398
0.025,0.476,0.924,7.481,-7.160,15.756,29.445
0.029,0.477,0.940,8.031,-6.397,18.580,29.438
0.043,0.475,0.958,9.313,-7.328,20.885,29.445
0.066,0.476,0.978,10.168,-13.023,20.840,29.414
0.103,0.471,1.023,12.916,-15.634,19.435,29.414
0.130,0.478,1.014,15.130,-7.481,17.786,29.461
0.117,0.473,1.028,15.145,-3.588,13.740,29.438
0.118,0.481,1.015,15.221,1.053,10.595,29.438
0.106,0.481,0.999,16.763,8.076,7.221,29.438
0.079,0.473,0.950,18.977,10.061,5.084,29.461
0.074,0.465,0.909,20.885,7.832,4.824,29.422
0.064,0.461,0.875,22.779,6.947,5.847,29.445
0.051,0.457,0.847,25.435,3.664,7.313,29.445
0.050,0.460,0.827,28.427,0.137,8.656,29.430
