accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,tmp
0.576,-0.164,0.751,22.267,-8.629,73.259,28.091
0.563,-0.192,0.753,32.146,-6.494,94.471,28.093
0.541,-0.212,0.759,40.686,-2.646,118.246,28.099
0.503,-0.223,0.769,48.427,1.180,143.234,28.106
0.442,-0.224,0.792,54.271,4.912,167.716,28.103
0.352,-0.222,0.822,57.974,8.378,188.319,28.093
0.237,-0.226,0.867,59.950,12.074,203.772,28.099
0.096,-0.254,0.926,59.817,19.017,215.361,28.088
-0.065,-0.322,0.966,57.642,29.767,216.578,28.083
-0.213,-0.384,0.985,51.823,34.615,202.334,28.090
-0.296,-0.436,0.991,44.665,29.110,174.056,28.099
-0.309,-0.464,0.994,37.231,18.107,140.233,28.097
-0.272,-0.468,0.996,30.969,8.833,110.785,28.104
-0.218,-0.463,0.993,26.498,3.903,89.639,28.108
-0.167,-0.460,0.987,23.507,1.175,75.527,28.100
-0.132,-0.456,0.978,22.161,-1.973,66.439,28.101
-0.114,-0.451,0.973,21.892,-5.881,60.551,28.097
-0.118,-0.449,0.975,22.194,-8.789,56.318,28.094
-0.137,-0.450,0.981,22.195,-10.088,51.635,28.084
-0.157,-0.451,0.986,20.898,-10.321,45.200,28.089
-0.166,-0.447,0.989,18.506,-9.852,37.304,28.094
-0.159,-0.438,0.993,15.746,-8.190,29.280,28.098
-0.141,-0.425,0.995,12.824,-5.773,22.357,28.103
-0.118,-0.412,0.995,10.164,-3.558,17.073,28.095
-0.090,-0.400,0.997,8.306,-2.077,13.373,28.087
-0.065,-0.387,1.000,6.901,-0.882,11.408,28.088
-0.047,-0.377,1.001,5.737,0.491,11.151,28.088
-0.037,-0.372,0.999,5.055,2.097,11.703,28.081
-0.034,-0.368,0.995,4.860,3.168,12.201,28.088
-0.035,-0.365,0.990,4.813,3.243,12.342,28.090
-0.037,-0.363,0.984,4.865,2.909,12.165,28.095
-0.039,-0.362,0.976,4.347,2.464,10.864,28.092
-0.036,-0.359,0.971,3.379,1.337,9.304,28.101
-0.034,-0.357,0.968,1.840,0.365,7.616,28.109
-0.034,-0.358,0.967,0.353,-0.058,5.681,28.105
-0.032,-0.358,0.967,-1.010,-0.624,3.490,28.098
-0.028,-0.356,0.967,-2.357,-1.727,1.282,28.101
-0.022,-0.354,0.967,-3.680,-2.483,-0.550,28.101
-0.016,-0.353,0.967,-4.764,-2.263,-1.974,28.101
-0.013,-0.353,0.967,-5.634,-1.728,-3.351,28.099
-0.010,-0.351,0.966,-6.485,-1.792,-4.753,28.104
-0.007,-0.351,0.962,-7.074,-2.050,-5.912,28.097
-0.004,-0.350,0.956,-7.172,-1.854,-6.789,28.106
0.001,-0.350,0.952,-7.020,-1.459,-7.237,28.109
0.004,-0.349,0.949,-6.639,-1.430,-7.199,28.119
0.007,-0.349,0.948,-6.010,-1.122,-6.563,28.124
0.005,-0.350,0.946,-4.935,-0.556,-5.815,28.126
0.001,-0.351,0.942,-3.590,-0.627,-5.556,28.126
0.001,-0.352,0.939,-2.529,-0.741,-5.461,28.110
0.003,-0.352,0.937,-1.954,0.315,-4.958,28.116
0.005,-0.352,0.936,-1.671,2.087,-4.059,28.118
0.006,-0.351,0.933,-1.151,3.103,-3.109,28.118
0.006,-0.352,0.929,-0.237,3.679,-2.099,28.118
0.004,-0.352,0.933,0.796,4.290,-1.078,28.121
0.001,-0.353,0.938,1.578,4.336,-0.083,28.115
-0.005,-0.356,0.942,2.340,3.660,0.537,28.107
-0.010,-0.359,0.945,3.094,2.673,0.536,28.102
-0.013,-0.361,0.951,3.264,1.936,0.326,28.110
-0.014,-0.362,0.956,2.593,1.799,0.286,28.117
-0.016,-0.365,0.960,1.479,2.075,0.291,28.102
-0.016,-0.366,0.962,0.598,1.831,0.035,28.106
