picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 115200
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
sensorTask started...
ICM-42670P initialized successfully!
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,tmp
0.142,-0.390,0.928,0.353,0.965,1.136,30.817
0.141,-0.390,0.927,0.399,0.724,0.905,30.806
0.140,-0.391,0.928,0.581,0.791,0.698,30.802
0.138,-0.391,0.929,0.673,0.482,0.371,30.810
0.138,-0.392,0.933,0.699,0.247,-0.023,30.813
0.140,-0.392,0.935,0.669,0.487,-0.277,30.811
0.141,-0.392,0.937,0.609,0.648,-0.502,30.821
0.142,-0.390,0.938,0.438,0.696,-0.590,30.823
0.144,-0.389,0.937,0.233,0.831,-0.515,30.826
0.145,-0.388,0.937,0.156,0.894,-0.413,30.817
0.146,-0.387,0.938,0.170,0.736,-0.333,30.820
0.146,-0.387,0.938,0.139,0.407,-0.307,30.814
0.145,-0.387,0.937,0.055,0.267,-0.261,30.808
0.144,-0.387,0.937,-0.047,0.185,-0.279,30.813
0.143,-0.387,0.936,-0.234,0.028,-0.343,30.815
0.142,-0.387,0.934,-0.427,-0.055,-0.429,30.820
0.142,-0.387,0.933,-0.641,0.008,-0.440,30.820
0.142,-0.388,0.932,-0.771,0.140,-0.460,30.812
0.142,-0.387,0.931,-0.830,0.204,-0.494,30.812
0.142,-0.387,0.929,-0.924,0.290,-0.447,30.822
0.143,-0.387,0.926,-0.865,0.435,-0.350,30.820
0.143,-0.386,0.925,-0.733,0.529,-0.247,30.824
0.144,-0.385,0.925,-0.675,0.729,-0.102,30.827
0.143,-0.385,0.924,-0.648,1.012,0.004,30.819
0.143,-0.385,0.922,-0.528,1.030,-0.054,30.822
0.143,-0.384,0.921,-0.300,0.818,-0.247,30.811
0.144,-0.383,0.922,-0.061,0.564,-0.433,30.808
0.145,-0.383,0.924,0.198,0.431,-0.565,30.807
0.146,-0.383,0.926,0.462,0.327,-0.737,30.806
0.148,-0.382,0.929,0.655,0.337,-0.885,30.796
0.150,-0.381,0.932,0.892,0.371,-0.923,30.810
0.151,-0.381,0.933,1.085,0.259,-0.868,30.811
0.153,-0.380,0.934,1.070,0.252,-0.849,30.817
