picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 115200
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
sensorTask started...
ICM-42670P initialized successfully!
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,tmp
0.330,0.407,-0.779,-69.470,-76.697,-64.052,28.171
0.294,0.413,-0.809,-72.721,-75.813,-67.333,28.168
0.262,0.421,-0.832,-77.720,-72.989,-64.954,28.169
0.250,0.429,-0.836,-81.981,-74.253,-57.563,28.171
0.263,0.436,-0.818,-83.673,-79.740,-47.252,28.177
0.285,0.451,-0.780,-82.598,-84.454,-37.767,28.176
0.304,0.469,-0.745,-79.471,-84.252,-31.684,28.179
0.302,0.477,-0.719,-75.210,-78.743,-28.752,28.181
0.272,0.471,-0.694,-68.160,-76.477,-26.155,28.177
0.228,0.460,-0.658,-57.814,-78.209,-19.323,28.179
0.189,0.446,-0.626,-45.433,-81.630,-6.935,28.174
0.167,0.442,-0.609,-33.071,-81.257,9.761,28.175
0.164,0.449,-0.613,-23.452,-73.729,27.821,28.182
0.180,0.470,-0.634,-18.337,-60.545,43.984,28.185
0.208,0.505,-0.671,-17.077,-50.027,55.259,28.188
0.254,0.529,-0.715,-16.503,-51.375,57.169,28.186
0.295,0.548,-0.749,-13.858,-57.421,52.644,28.186
0.304,0.557,-0.782,-12.550,-63.211,47.121,28.194
0.298,0.559,-0.799,-13.596,-66.996,43.619,28.181
0.272,0.560,-0.800,-14.830,-69.663,42.600,28.181
0.241,0.559,-0.796,-15.653,-75.182,43.744,28.186
0.230,0.550,-0.781,-17.248,-83.761,46.583,28.181
0.228,0.545,-0.753,-19.447,-90.267,50.296,28.177
0.249,0.543,-0.723,-20.608,-90.135,52.958,28.187
0.266,0.546,-0.702,-19.639,-84.247,52.475,28.189
0.283,0.551,-0.694,-17.646,-74.002,50.062,28.189
0.298,0.569,-0.706,-15.196,-61.284,44.734,28.179
0.297,0.595,-0.745,-13.095,-50.783,35.428,28.187
0.289,0.609,-0.800,-11.699,-47.095,22.701,28.177
0.275,0.616,-0.845,-12.786,-47.218,9.938,28.186
0.250,0.622,-0.869,-16.322,-45.605,-0.421,28.190
0.208,0.618,-0.874,-21.028,-43.814,-8.632,28.189
0.146,0.588,-0.851,-25.626,-44.567,-14.386,28.189
0.057,0.539,-0.796,-27.063,-48.395,-12.725,28.191
-0.030,0.494,-0.742,-23.190,-51.086,0.514,28.184
-0.076,0.478,-0.711,-16.320,-48.043,22.366,28.185
-0.071,0.491,-0.703,-10.221,-37.624,44.328,28.187
-0.031,0.518,-0.718,-7.864,-23.023,60.380,28.193
0.022,0.555,-0.746,-10.059,-8.588,69.193,28.192
0.081,0.590,-0.774,-14.800,-0.804,69.334,28.195
0.134,0.608,-0.793,-18.859,-2.114,62.245,28.207
0.178,0.623,-0.798,-22.908,-6.845,52.481,28.221
0.216,0.638,-0.783,-28.246,-7.573,42.788,28.211
0.245,0.645,-0.751,-35.814,-0.432,32.221,28.209
0.262,0.641,-0.712,-43.742,13.195,20.448,28.219
0.268,0.637,-0.665,-51.459,34.328,8.882,28.215
